titre,entreprise,contrat,localisation,lien,date_scraping,mot_cle_recherche,source,description
Junior GenAI Engineer - Paris,Ovrsea,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/ovrsea/jobs/junior-genai-engineer-paris_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Chercheur / Ingénieur Machine Learning 3D,Chat3D,Non précisé,Lyon,https://www.welcometothejungle.com/fr/companies/chat3d/jobs/chercheur-ingenieur-machine-learning-3d_lyon,2026-02-10,Machine Learning Engineer,WTTJ,
Machine Learning Operations Engineer F/H,Ntt Ltd,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/ntt-ltd/jobs/machine-learning-operations-engineer-f-h_antony,2026-02-10,Machine Learning Engineer,WTTJ,
Applied ML/AI Engineer - Monitoring,Sifflet,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/sifflet/jobs/applied-ml-ai-engineer-monitoring_paris,2026-02-10,Machine Learning Engineer,WTTJ,
AI Platform Engineer,Payflows,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/payflows/jobs/ai-platform-engineer_paris_PAYFL_5kJYoXL,2026-02-10,Machine Learning Engineer,WTTJ,
Stagiaire R&D Machine Learning,Craft Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/craft-ai/jobs/stagiaire-r-d-machine-learning_paris,2026-02-10,Machine Learning Engineer,WTTJ,
3A Product Internship - AI Engineer,Murex,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/murex/jobs/3a-product-internship-ai-engineer,2026-02-10,Machine Learning Engineer,WTTJ,
Stage Ingénieur/e d'étude développeur/se développement d’un modèle de renforcement learning pour l’optimisation dans le contexte de la simulation,Cs Group,Stage,France,https://www.welcometothejungle.com/fr/companies/cs-group/jobs/stage-ingenieur-e-d-etude-developpeur-se-developpement-d-un-modele-de-renforcement-learning-pour-l-optimisation-dans-le-contexte-de-la-simulation_aix-en-provence,2026-02-10,Machine Learning Engineer,WTTJ,
AI Agent Engineer - Freelance,Mirakl,Freelance,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/ai-agent-engineer-freelance_paris,2026-02-10,Machine Learning Engineer,WTTJ,
AI Agent Engineer - Freelance,Mirakl,Freelance,Bordeaux,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/ai-agent-engineer-freelance_bordeaux_MIRAK_k3a5GXz,2026-02-10,Machine Learning Engineer,WTTJ,
CDI - Senior AI Engineer - Edtech à Impact (H/F),My Job Glasses,Cdi,Paris,https://www.welcometothejungle.com/fr/companies/my-job-glasses/jobs/cdi-ia-engineer-edtech-a-impact_paris,2026-02-10,Machine Learning Engineer,WTTJ,
MACHINE LEARNING ENGINEER F/H,Cdiscount,Non précisé,Bordeaux,https://www.welcometothejungle.com/fr/companies/cdiscount/jobs/machine-learning-engineer-f-h_bordeaux-33_CDISC_GRR5oDy,2026-02-10,Machine Learning Engineer,WTTJ,
AI Engineer Supply Chain (Secteur Énergie) H/F,Nexton Consulting,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/nexton-consulting/jobs/ai-engineer-supply-chain-secteur-energie-h-f_paris,2026-02-10,Machine Learning Engineer,WTTJ,
ML Engineer (M/F) - Internship - Paris,Wiremind,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/wiremind/jobs/ml-engineer-m-f-internship-paris_paris_WIREM_8g72Mwg,2026-02-10,Machine Learning Engineer,WTTJ,
Head of Machine Learning Operations (M/F) - CDI - Paris,Wiremind,Cdi,Paris,https://www.welcometothejungle.com/fr/companies/wiremind/jobs/head-of-machine-learning-m-f-cdi-paris_paris_WIREM_Y1OMkeW,2026-02-10,Machine Learning Engineer,WTTJ,
ML Engineer (M/F) - CDI - Paris,Wiremind,Cdi,Paris,https://www.welcometothejungle.com/fr/companies/wiremind/jobs/ml-engineer-m-f-cdi-paris_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Machine Learning Engineer (F/N/H),Leboncoin,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/leboncoin/jobs/machine-learning-engineer-f-n-h_paris_LEBON_0WMqK0x,2026-02-10,Machine Learning Engineer,WTTJ,
"Applied AI, Evaluation Engineer",Mistral Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/applied-ai-evaluation-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
"Applied AI, AI Engineer for Mistral",Mistral Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/applied-ai-ai-engineer-for-mistral_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Staff Machine Learning Engineer,Nabla,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/nabla/jobs/senior-machine-learning-engineer_paris_NABLA_2gwLkP5,2026-02-10,Machine Learning Engineer,WTTJ,
Machine Learning Engineer,Jedha,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/jedha/jobs/machine-learning-engineer_paris_JEDHA_k4m166g,2026-02-10,Machine Learning Engineer,WTTJ,
IA Engineer,L Olivier,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/l-olivier/jobs/ia-engineer,2026-02-10,Machine Learning Engineer,WTTJ,
Senior ML Software Engineer - F/H,Chapsvision,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/chapsvision/jobs/senior-ml-software-engineer-f-h_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Senior/Staff Machine Learning Engineer - Health Evaluation - AI Teams (x/f/m),Doctolib,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/doctolib/jobs/senior-machine-learning-engineer-x-f-m_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Manager - Machine Learning - Voice Model (x/f/m),Doctolib,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/doctolib/jobs/ml-engineering-manager-voice-models-asr-stt-x-f-m_paris,2026-02-10,Machine Learning Engineer,WTTJ,
AI / Machine Learning Research intern (x/f/m),Doctolib,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/doctolib/jobs/ai-machine-learning-research-intern-x-f-m_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Senior Machine Learning Engineer,Nabla,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/nabla/jobs/senior-machine-learning-engineer_paris_NABLA_2y81yJz,2026-02-10,Machine Learning Engineer,WTTJ,
Senior Deep Learning Scientist (H/F),Safran Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/safran-ai/jobs/senior-deep-learning-scientist-h-f_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Machine Learning Engineer - Stage,Lifen,Stage,Paris,https://www.welcometothejungle.com/fr/companies/lifen/jobs/machine-learning-engineer-stage_paris_LIFEN_yjV4A17,2026-02-10,Machine Learning Engineer,WTTJ,
Senior ML Engineer LLM - AI Safety,Bluecoders,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/bluecoders/jobs/senior-ml-engineer-llm-ai-safety_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Machine Learning Engineer - Team Search (F/N/H),Leboncoin,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/leboncoin/jobs/machine-learning-engineer-team-search-f-n-h_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Intern Machine Learning Engineer - Recommender Systems (All Genders),Dailymotion,Non précisé,France,https://www.welcometothejungle.com/fr/companies/dailymotion/jobs/intern-machine-learning-engineer-recommender-systems-all-genders_issy-les-moulineaux,2026-02-10,Machine Learning Engineer,WTTJ,
Machine Learning Operations Engineer F/H,Ntt Ltd,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/ntt-ltd/jobs/machine-learning-operations-engineer-f-h_antony_ND_k89232w,2026-02-10,Machine Learning Engineer,WTTJ,
Agentic AI Engineer (LILLE),Nolej 1,Non précisé,Lille,https://www.welcometothejungle.com/fr/companies/nolej-1/jobs/agentic-ai-engineer_tourcoing,2026-02-10,Machine Learning Engineer,WTTJ,
Consultant AI Engineer Senior - F/H/N,Octo Technology,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/octo-technology/jobs/consultant-senior-data-scientist-genai-f-h-n_paris,2026-02-10,Machine Learning Engineer,WTTJ,
"Applied AI, Forward Deployed Machine Learning Engineer - (Internship)",Mistral Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/applied-ai-engineer-paris-internship_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Confirmed GenAI Engineer,Craft Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/craft-ai/jobs/confirmed-data-scientist_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Consultant Senior MLOPS Engineer,Talan,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/talan/jobs/consultant-senior-ml-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Senior ML Engineer - F/H,Chapsvision,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/chapsvision/jobs/ml-engineer-f-h_paris,2026-02-10,Machine Learning Engineer,WTTJ,
AI Operations Engineer,Spendesk,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/spendesk/jobs/ai-operations-specialist_paris_SPEND_kGeM2K2,2026-02-10,Machine Learning Engineer,WTTJ,
Stage - MLOps Engineer (H/F),Safran Ai,Stage,Paris,https://www.welcometothejungle.com/fr/companies/safran-ai/jobs/stage-mlops-engineer-h-f_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Lead AI Engineer (F/H),Carrefour,Non précisé,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/lead-ai-engineer-f-h_massy_CARRE_8gz4D0L,2026-02-10,Machine Learning Engineer,WTTJ,
Software Engineer - Machine Learning,Meltwater,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/meltwater/jobs/machine-learning-engineer-research-internship_paris_MELTW_jazNM9a,2026-02-10,Machine Learning Engineer,WTTJ,
ML / MLOps Engineer - Confirmé·e,Jakala,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/jakala/jobs/ml-mlops-engineer-confirme-e-cdi-paris-ou-caen_JAKAL_a5r9Z6J,2026-02-10,Machine Learning Engineer,WTTJ,
STAGE - Ingénieure / Ingénieur Estimation d'états du lanceur Ariane 6 par filtrage de Kalman et méthodes de Machine Learning,Arianegroup,Stage,France,https://www.welcometothejungle.com/fr/companies/arianegroup/jobs/stage-ingenieure-ingenieur-estimation-d-etats-du-lanceur-ariane-6-par-filtrage-de-kalman-et-methodes-de-machine-learning_les-mureaux,2026-02-10,Machine Learning Engineer,WTTJ,
Stage - GenAI Engineer : l'IA au service du business F/H/N,Octo Technology,Stage,Paris,https://www.welcometothejungle.com/fr/companies/octo-technology/jobs/stage-gen-ai-engineer-f-h-n_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Senior Staff Machine Learning Engineer - Clinical - AI Teams (x/f/m),Doctolib,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/doctolib/jobs/senior-staff-machine-learning-engineer-clinical-x-f-m_paris,2026-02-10,Machine Learning Engineer,WTTJ,
"AI Engineer, Product",Mistral Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/ai-engineer-product_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Senior ML Ops Engineer (x/f/m),Doctolib,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/doctolib/jobs/senior-ml-ops-engineer-x-f-m_paris_DOCTO_JjPZNLQ,2026-02-10,Machine Learning Engineer,WTTJ,
Machine Learning Engineer,Modjo,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/modjo/jobs/machine-learning-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Machine Learning Research Intern (x/f/m),Doctolib,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/doctolib/jobs/machine-learning-research-intern-x-f-m_paris,2026-02-10,Machine Learning Engineer,WTTJ,
STAGE - Assistant AI Engineer - Développement de systèmes RAG agentiques H/F,Groupe Credit Agricole,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-assistant-ai-engineer-developpement-de-systemes-rag-agentiques-h-f_montrouge,2026-02-10,Machine Learning Engineer,WTTJ,
Senior AI Engineer,Naboo,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/naboo/jobs/senior-ai-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
ML Engineer,Fleetiz,Non précisé,Lyon,https://www.welcometothejungle.com/fr/companies/fleetiz/jobs/ml-engineer_lyon,2026-02-10,Machine Learning Engineer,WTTJ,
ML Ops/Engineer,Skillcorner,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/skillcorner/jobs/ml-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Senior AI Healthcare Engineer,Sonio,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/sonio/jobs/senior-ai-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
STAGE – Ingénieur en machine learning appliqué aux circuits photoniques  (H/F) – 6 mois,Thales,Stage,France,https://www.welcometothejungle.com/fr/companies/thales/jobs/stage-ingenieur-en-apprentissage-neuromorphique-avec-des-systemes-nanophotoniques-h-f-6-mois_palaiseau,2026-02-10,Machine Learning Engineer,WTTJ,
MLOps / ML Engineer,Linagora,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/linagora/jobs/mlops-ml-engineer_issy-les-moulineaux,2026-02-10,Machine Learning Engineer,WTTJ,
Chef de projet développement Machine Learning F/H,Jcdecaux,Non précisé,France,https://www.welcometothejungle.com/fr/companies/jcdecaux/jobs/stage-chef-de-projet-developpement-machine-learning-f-h-fevrier-2025_plaisir,2026-02-10,Machine Learning Engineer,WTTJ,
Ingénieur système machine learning F/H,Thales,Non précisé,France,https://www.welcometothejungle.com/fr/companies/thales/jobs/ingenieur-systeme-machine-learning-f-h_limours_THALE_Y2NqJmP,2026-02-10,Machine Learning Engineer,WTTJ,
Stage – AI Engineer,Muchbetter Ai,Stage,Paris,https://www.welcometothejungle.com/fr/companies/muchbetter-ai/jobs/stage-ai-engineer-h-f_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Stage - Ingénieur Projet Machine Learning - H/F,Suez,Stage,France,https://www.welcometothejungle.com/fr/companies/suez/jobs/stage-ingenieur-projet-machine-learning-h-f_brest,2026-02-10,Machine Learning Engineer,WTTJ,
"Applied AI, Technical Lead, Forward Deployed AI Engineer - EMEA",Mistral Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/applied-ai-technical-lead-forward-deployed-ai-engineer-emea_paris,2026-02-10,Machine Learning Engineer,WTTJ,
"Machine Learning Engineer, Open-Source Software - Paris/London",Mistral Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/machine-learning-engineer-open-source-software-paris-london_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Future AI Global leaders - Applied AI & Engineering,Mistral Ai,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mistral-ai/jobs/future-ai-global-leaders-applied-ai-engineering_paris,2026-02-10,Machine Learning Engineer,WTTJ,
AI Engineer Intern,Gleamer,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/gleamer/jobs/ai-engineer-intern_paris_GLEAM_GwgaWm5,2026-02-10,Machine Learning Engineer,WTTJ,
Stage 2026 - Data Science et Machine Learning/AI practitionner (100% R&D),Ekimetrics,Stage,Paris,https://www.welcometothejungle.com/fr/companies/ekimetrics/jobs/stage-2026-data-science-et-machine-learning-ai-practitionner-sujet-foundation-models-for-tabular-data-h-f-n_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Développeur IA Générative / Generative AI Engineer H/F,The Adecco Group,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/the-adecco-group/jobs/developpeur-ia-generative-generative-ai-engineer-h-f_paris_TAG_xz2owqm,2026-02-10,Machine Learning Engineer,WTTJ,
Développeur IA Générative / Generative AI Engineer H/F,The Adecco Group,Non précisé,Toulouse,https://www.welcometothejungle.com/fr/companies/the-adecco-group/jobs/developpeur-ia-generative-generative-ai-engineer-h-f_toulouse_TAG_w07LKMk,2026-02-10,Machine Learning Engineer,WTTJ,
Développeur IA Générative / Generative AI Engineer H/F,The Adecco Group,Non précisé,Lyon,https://www.welcometothejungle.com/fr/companies/the-adecco-group/jobs/developpeur-ia-generative-generative-ai-engineer-h-f_lyon_TAG_5p8q0JR,2026-02-10,Machine Learning Engineer,WTTJ,
Senior GenAI Engineer,Pigment,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/pigment/jobs/ml-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Stage–Machine Learning & Optimisation : Unrolled Neural Networks,Wheere,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/wheere/jobs/stage-machine-learning-optimisation-unrolled-neural-networks_castelnau-le-lez_WHEER_GJ3Vg3J,2026-02-10,Machine Learning Engineer,WTTJ,
Platform Engineer,Akur8,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/akur8/jobs/platform-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Fullstack Software Engineer,Akur8,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/akur8/jobs/senior-fullstack-software-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Frontend Software Engineer,Akur8,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/akur8/jobs/frontend-software-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Junior Fullstack Software Engineer,Akur8,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/akur8/jobs/junior-fullstack-software-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Geospatial Data Engineer,Axa Climate,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/axa-climate/jobs/geospatial-data-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
AI Engineer,Hubvisory,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/hubvisory/jobs/ai-engineer_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Data Engineer / Consultant Databricks H/F,The Adecco Group,Non précisé,Lyon,https://www.welcometothejungle.com/fr/companies/the-adecco-group/jobs/data-engineer-consultant-databricks-h-f_lyon_TAG_aA2Kb4r,2026-02-10,Machine Learning Engineer,WTTJ,
Data Engineer - Data Scientist,Metroscope,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/metroscope/jobs/data-engineer_paris_METRO_DrOqN30,2026-02-10,Machine Learning Engineer,WTTJ,
(M/W) AI & Control Engineer,Wandercraft,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/wandercraft/jobs/h-f-ingenieur-r-d-controle-et-machine-learning_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Senior Python software Engineer (F/H),Carrefour,Non précisé,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/senior-python-software-engineer-f-h_massy_CARRE_Nla56p3,2026-02-10,Machine Learning Engineer,WTTJ,
Head of Engineering - GenAI 3D,Chat3D,Non précisé,Lyon,https://www.welcometothejungle.com/fr/companies/chat3d/jobs/head-of-engineering-genai-3d_lyon,2026-02-10,Machine Learning Engineer,WTTJ,
Research Engineer/Postdoc - Bioinformatics and Data Analysis (M/F),Institut Imagine,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/institut-imagine/jobs/research-engineer-postdoc-bioinformatics-and-data-analysis-m-f_paris_II_oR1PQrQ,2026-02-10,Machine Learning Engineer,WTTJ,
Data & AI Engineer - Stage,Naboo,Stage,Paris,https://www.welcometothejungle.com/fr/companies/naboo/jobs/data-ai-engineer-stage_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Senior Python software Engineer (F/H),Carrefour,Non précisé,Massy,https://www.welcometothejungle.com/fr/companies/carrefour/jobs/senior-python-software-engineer-f-h_massy_CARRE_w75G308,2026-02-10,Machine Learning Engineer,WTTJ,
(H/F) AI & Controls Engineer – Manipulation,Wandercraft,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/wandercraft/jobs/h-f-ai-controls-engineer-manipulation_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Senior Software Engineer,Tilt Energy,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/tilt-energy/jobs/senior-software-engineer_paris_TE_Jg2lD4V,2026-02-10,Machine Learning Engineer,WTTJ,
DATA ENGINEER H/F,The Adecco Group,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/the-adecco-group/jobs/data-engineer-h-f_niort,2026-02-10,Machine Learning Engineer,WTTJ,
Protein and Vector Engineering Scientist,Whitelab Genomics,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/whitelab-genomics/jobs/protein-and-vector-engineering_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Consultant IA Expérimenté(e) F/H,Cgi,Non précisé,Toulouse,https://www.welcometothejungle.com/fr/companies/cgi/jobs/consultant-ia-f-h_toulouse,2026-02-10,Machine Learning Engineer,WTTJ,
Doctorant en Vérification formelle d'IA (H/F),Thales,Non précisé,France,https://www.welcometothejungle.com/fr/companies/thales/jobs/doctorant-en-verification-formelle-d-ia-h-f_palaiseau,2026-02-10,Machine Learning Engineer,WTTJ,
Stage - Ingénieur(e) - AI et Apprentissage Renforcé pour la Simulation Robotique dans le Metaverse Industriel,Sopra Steria,Stage,France,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/stage-ingenieur-ai-et-apprentissage-renforce-pour-la-simulation-robotique-dans-le-metaverse-industriel_courbevoie_SS_6VdyLMJ,2026-02-10,Machine Learning Engineer,WTTJ,
Expert IA agentique - Solutions et Expertises - Nantes,Sopra Steria,Non précisé,Nantes,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/expert-ia-agentique-solutions-et-expertises-nantes_nantes,2026-02-10,Machine Learning Engineer,WTTJ,
Lead MLOps,Quantcube Technology,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/quantcube-technology/jobs/lead-mlops_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Stage - Ingénieur.e IA Générative,Comptasecure,Stage,Paris,https://www.welcometothejungle.com/fr/companies/comptasecure/jobs/stage-ingenieur-e-llm_paris,2026-02-10,Machine Learning Engineer,WTTJ,
Stage - Ingénieur IA - NLP/LLM H/F,Atos,Stage,France,https://www.welcometothejungle.com/fr/companies/atos/jobs/stage-ingenieur-ia-nlp-llm-h-f_aix-en-provence,2026-02-10,Machine Learning Engineer,WTTJ,
Facilitateur Intelligence Artificielle et Adoption F/H,In Extenso,Non précisé,France,https://www.welcometothejungle.com/fr/companies/in-extenso/jobs/facilitateur-intelligence-artificielle-et-adoption-f-h_parcay-meslay,2026-02-10,Intelligence Artificielle,WTTJ,
Consultant(e) en Management & Organisation - Intelligence Artificielle,Talisker,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/talisker/jobs/consultant-en-management-organisation-intelligence-artificielle_paris_TALIS_5MbKJka,2026-02-10,Intelligence Artificielle,WTTJ,
Expert en Intelligence Artificielle (H/F),Ponera,Non précisé,France,https://www.welcometothejungle.com/fr/companies/ponera/jobs/expert-en-intelligence-artificielle-h-f_prouvy_PONER_JMQ96Zg,2026-02-10,Intelligence Artificielle,WTTJ,
Architecte Intelligence Artificielle H/F,Credit Agricole Cib,Non précisé,France,https://www.welcometothejungle.com/fr/companies/credit-agricole-cib/jobs/architecte-intelligence-artificielle-h-f_montrouge,2026-02-10,Intelligence Artificielle,WTTJ,
Product Owner Data / Intelligence Artificielle (F/H),Asi,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/asi/jobs/product-owner-data-intelligence-artificielle-f-h_paris,2026-02-10,Intelligence Artificielle,WTTJ,
STAGE - Animation de la Ligne Métier Achats sur l'Intelligence Artificielle H/F,Groupe Credit Agricole,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-animation-de-la-ligne-metier-achats-sur-l-intelligence-artificielle-h-f_montrouge,2026-02-10,Intelligence Artificielle,WTTJ,
STAGE - Concepteur Informatique - Automatisation des Processus IT avec RPA et Intelligence Artificielle H/F - 6 mois,Bnp Paribas,Stage,Paris,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/stage-concepteur-informatique-automatisation-des-processus-it-avec-rpa-et-intelligence-artificielle-h-f-6-mois_paris_BP_qorXm4j,2026-02-10,Intelligence Artificielle,WTTJ,
CDI - Développeuse/Développeur Expert(e) en Intelligence Artificielle,Arianegroup,Cdi,France,https://www.welcometothejungle.com/fr/companies/arianegroup/jobs/cdi-developpeuse-developpeur-expert-en-intelligence-artificielle_le-haillan,2026-02-10,Intelligence Artificielle,WTTJ,
Architecte logiciel Intelligence Artificielle,Thales,Non précisé,Nantes,https://www.welcometothejungle.com/fr/companies/thales/jobs/architecte-logiciel-intelligence-artificielle_nantes,2026-02-10,Intelligence Artificielle,WTTJ,
STAGE – Ingénieur en Intelligence Artificielle et Robotique – IA pour la coordination de systèmes multi-agents autonomes (H/F) – 6 mois,Thales,Stage,France,https://www.welcometothejungle.com/fr/companies/thales/jobs/stage-ingenieur-en-intelligence-artificielle-et-robotique-ia-pour-la-coordination-de-systemes-multi-agents-autonomes-h-f-6-mois_palaiseau,2026-02-10,Intelligence Artificielle,WTTJ,
Passionné(e) d’Intelligence Artificielle (H/F),Ponera,Non précisé,France,https://www.welcometothejungle.com/fr/companies/ponera/jobs/responsable-projets-ia-passionne-d-intelligence-artificielle-h-f_prouvy,2026-02-10,Intelligence Artificielle,WTTJ,
INGENIEUR EN INTELLIGENCE ARTIFICIELLE J,Ministere Des Armees Fr,Non précisé,La Défense,https://www.welcometothejungle.com/fr/companies/ministere-des-armees-fr/jobs/ingenieur-doctorant-en-intelligence-artificielle_bruz,2026-02-10,Intelligence Artificielle,WTTJ,
INGENIEUR EN INTELLIGENCE ARTIFICIELLE,Ministere Des Armees Fr,Non précisé,La Défense,https://www.welcometothejungle.com/fr/companies/ministere-des-armees-fr/jobs/ingenieur-en-intelligence-artificielle_bruz_CDLDMDA_84GDe8m,2026-02-10,Intelligence Artificielle,WTTJ,
Chargé de conformité Intelligence Artificielle débutant H/F,Totalenergies,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/totalenergies/jobs/charge-de-conformite-intelligence-artificielle-debutant-h-f_courbevoie,2026-02-10,Intelligence Artificielle,WTTJ,
Data Scientist Référent & Expert Intelligence Artificielle,Societe Generale Assurances,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/societe-generale-assurances/jobs/data-scientist-referent-expert-intelligence-artificielle_courbevoie,2026-02-10,Intelligence Artificielle,WTTJ,
INGENIEUR POST DOCTORANT EN INTELLIGENCE ARTIFICIELLE,Ministere Des Armees Fr,Non précisé,La Défense,https://www.welcometothejungle.com/fr/companies/ministere-des-armees-fr/jobs/ingenieur-post-doctorant-en-intelligence-artificielle_palaiseau,2026-02-10,Intelligence Artificielle,WTTJ,
INGENIEUR DOCTORANT EN INTELLIGENCE ARTIFICIELLE,Ministere Des Armees Fr,Non précisé,La Défense,https://www.welcometothejungle.com/fr/companies/ministere-des-armees-fr/jobs/ingenieur-doctorant-en-intelligence-artificielle_palaiseau,2026-02-10,Intelligence Artificielle,WTTJ,
Chef de Projet en Intelligence Artificielle,Ministere Des Armees Fr,Non précisé,La Défense,https://www.welcometothejungle.com/fr/companies/ministere-des-armees-fr/jobs/chef-de-projet-en-intelligence-artificielle_bruz,2026-02-10,Intelligence Artificielle,WTTJ,
Ingénieur en Intelligence Artificielle,Ministere Des Armees Fr,Non précisé,La Défense,https://www.welcometothejungle.com/fr/companies/ministere-des-armees-fr/jobs/ingenieur-en-intelligence-artificielle_bruz,2026-02-10,Intelligence Artificielle,WTTJ,
