titre,entreprise,contrat,localisation,salaire,description,lien,date_scraping,source,mot_cle_recherche,id_apec
Data Scientist F/H,cadremploi,,,A partir de 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178017855W,2026-02-10,APEC,Data Scientist,178017855W
Senior Data Scientist F/H,Air Liquide,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178032994W,2026-02-10,APEC,Data Scientist,178032994W
Data Scientist / Data Analyst – Comptabilité & Finance F/H,MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES CONSEIL,,,40 - 65 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178110914W,2026-02-10,APEC,Data Scientist,178110914W
Data Scientist full dataiku F/H,DATAMED RESEARCH,,,32 - 55 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177336894W,2026-02-10,APEC,Data Scientist,177336894W
Data Scientist R&D F/H,ALESSIA RH,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177979906W,2026-02-10,APEC,Data Scientist,177979906W
Data Scientist MLOPS F/H,RANDSTAD DIGITAL FRANCE,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177933161W,2026-02-10,APEC,Data Scientist,177933161W
Data Scientist - Machine Learning Scientist F/H,Hellowork,,,35 - 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177929894W,2026-02-10,APEC,Data Scientist,177929894W
Data scientist - F/H,cadremploi,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177997488W,2026-02-10,APEC,Data Scientist,177997488W
Data Scientist F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178061203W,2026-02-10,APEC,Data Scientist,178061203W
Data Scientist F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178079286W,2026-02-10,APEC,Data Scientist,178079286W
Data Scientist F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178030371W,2026-02-10,APEC,Data Scientist,178030371W
Data Scientist & Recherche Opérationnelle confirmé F/H,MP DATA,,,32 - 48 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177998466W,2026-02-10,APEC,Data Scientist,177998466W
Data Scientist - Madrid F/H,CARREVOLUTIS,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178089281W,2026-02-10,APEC,Data Scientist,178089281W
DATA SCIENTIST SENIOR F/H,SCC France,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178006310W,2026-02-10,APEC,Data Scientist,178006310W
– Data Scientist - Madrid F/H,CARREVOLUTIS,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178082038W,2026-02-10,APEC,Data Scientist,178082038W
DATA SCIENTIST CONFIRME F/H,CREDIT MUTUEL LEASING,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177979503W,2026-02-10,APEC,Data Scientist,177979503W
Lead Data Scientist F/H,Hellowork,,,60 - 60 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178003621W,2026-02-10,APEC,Data Scientist,178003621W
Senior Data Scientist – Retail AI F/H,VUSION,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177999635W,2026-02-10,APEC,Data Scientist,177999635W
Data Scientist – (h/f)-JLA F/H,NEDSON,,,A partir de 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178033478W,2026-02-10,APEC,Data Scientist,178033478W
Data Scientist – Machine Deep learning F/H,Davidson Consulting,,,34 - 48 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178113554W,2026-02-10,APEC,Data Scientist,178113554W
Data Scientist – Machine Deep learning F/H,Davidson Consulting,,,34 - 48 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178113551W,2026-02-10,APEC,Data Scientist,178113551W
Data Scientist – Machine Deep learning F/H,Davidson Consulting,,,34 - 48 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178113540W,2026-02-10,APEC,Data Scientist,178113540W
Ingénieur RetD Data Scientist expérimenté F/H,IRT JULES VERNE,,,A partir de 45 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178084667W,2026-02-10,APEC,Data Scientist,178084667W
Consultant Data Scientist – Media F/H,Axys Consultants,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178076508W,2026-02-10,APEC,Data Scientist,178076508W
Data Scientist R&D F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177995418W,2026-02-10,APEC,Data Scientist,177995418W
Data Scientist - Analyse et Modèles Prédictifs - AMDS024 F/H,Aymen KHELIFI,,,13 - 21 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178001184W,2026-02-10,APEC,Data Scientist,178001184W
Senior data scientist F/H,Welcome to the Jungle,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178065438W,2026-02-10,APEC,Data Scientist,178065438W
Data Scientist Senior – E-commerce Opération F/H,SKIILS,,,40 - 70 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178090361W,2026-02-10,APEC,Data Scientist,178090361W
Consultant Data Scientist – Media F/H,Axys Consultants,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178076482W,2026-02-10,APEC,Data Scientist,178076482W
CP MOA Senior / Data Scientist F/H,VIBTIC,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178066575W,2026-02-10,APEC,Data Scientist,178066575W
Data Scientist IA Gen F/H,Hellowork,,,53 - 68 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177972254W,2026-02-10,APEC,Data Scientist,177972254W
Data Scientist Confirmé – Python / Spark / Scala / Databricks F/H,INOVELYA,,,A partir de 42 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178048824W,2026-02-10,APEC,Data Scientist,178048824W
Data Scientists IA F/H,LIPTON FIT,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178067145W,2026-02-10,APEC,Data Scientist,178067145W
Data Scientist IA / Deep Learning - Python - Confirmé F/H,Kaizen Solutions,,,35 - 45 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177986527W,2026-02-10,APEC,Data Scientist,177986527W
Senior Data Scientist - IA Générative F/H,DEVOTEAM,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177935940W,2026-02-10,APEC,Data Scientist,177935940W
Manager Data Scientist - Macroeconomic Modeling F/H,Welcome to the Jungle,,,A partir de 70 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177953069W,2026-02-10,APEC,Data Scientist,177953069W
Data Scientist & Recherche Opérationnelle confirmé F/H,Welcome to the Jungle,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178080422W,2026-02-10,APEC,Data Scientist,178080422W
Data Scientist d'Expérience Minimum F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178096854W,2026-02-10,APEC,Data Scientist,178096854W
Data Scientist / Machine Learning Engineer Confirmé F/H,ONEY BANK,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178073976W,2026-02-10,APEC,Data Scientist,178073976W
