titre,entreprise,contrat,localisation,lien,date_scraping,source
Consultant Data Scientist – Expert Media(H/F),Axys Consultants,Non précisé,Levallois,https://www.welcometothejungle.com/fr/companies/axys-consultants/jobs/consultant-data-scientist-expert-media-h-f_levallois-perret,2026-02-10,WTTJ
Data Scientist (H/F),Lidl Fr,Non précisé,France,https://www.welcometothejungle.com/fr/companies/lidl-fr/jobs/data-scientist-h-f_chatenay-malabry,2026-02-10,WTTJ
CDD - Data scientist H/F,Groupe Credit Agricole,Cdd,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/cdd-data-scientist-h-f_montrouge,2026-02-10,WTTJ
Consultant(e) Senior Data Science & IA,Siaxperience,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/siaxperience/jobs/consultant-senior-data-science-ia_paris_SIA_KK8Q8RR,2026-02-10,WTTJ
STAGE - Assistant Data Scientist - Mesures et réduction des biais des LLMs H/F,Groupe Credit Agricole,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-assistant-data-scientist-mesures-et-reduction-des-biais-des-llms-h-f_montrouge,2026-02-10,WTTJ
Stage - Health Data Scientist (H/F),Withings,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/withings/jobs/stage-health-data-scientist-h-f_issy-les-moulineaux_WITHI_A1Q2mzd,2026-02-10,WTTJ
Data Scientist / Applied AI Developer,Animaj,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/animaj/jobs/data-scientist-applied-ai-developer_paris,2026-02-10,WTTJ
Senior Business Data Scientist - Marketing & Commercial effectiveness (H/M/N),Ekimetrics,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/ekimetrics/jobs/senior-consultant-data-scientist-f-m-n-paris_paris,2026-02-10,WTTJ
DATA SCIENTIST - GENERATION DE DONNEES SYNTHETIQUES - H/F,Banque De France,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/banque-de-france/jobs/data-scientist-generation-de-donnees-synthetiques-h-f_paris-9e-arrondissement,2026-02-10,WTTJ
DATA SCIENTIST & IA - H/F,Banque De France,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/banque-de-france/jobs/data-scientist-ia-h-f_paris-9e-arrondissement,2026-02-10,WTTJ
Data Scientist - H/F,Mp Data,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-h-f_balma_MD_QpW88bw,2026-02-10,WTTJ
Stage Data Scientist (H/F) - 6 mois,Javelot,Stage,Paris,https://www.welcometothejungle.com/fr/companies/javelot/jobs/stage-data-scientist-h-f-6-mois_paris,2026-02-10,WTTJ
Junior Data Scientist (6-month Internship) 2025-2026,Kayrros,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/kayrros/jobs/junior-data-scientist-6-month-internship-2025-2026_paris,2026-02-10,WTTJ
"Data Scientist Intern, AI in Care Team",Back Market,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/back-market/jobs/data-scientist-intern-ai-core-team_paris,2026-02-10,WTTJ
"Consultant Senior / Manager Data Scientist Data & IA Strategy, Risk & Trustworthy AI Analyst F/H",Deloitte,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/deloitte/jobs/consultant-senior-manager-data-scientist-data-ia-strategy-risk-trustworthy-ai-analyst-f-h_paris-la-defense,2026-02-10,WTTJ
Consultant Risk Data Analyst / Data Scientist (H/F),Deloitte,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/deloitte/jobs/consultant-risk-data-analyst-data-scientist-h-f_paris-la-defense_DELOI_08gWXwy,2026-02-10,WTTJ
Data Scientist - Actuaire - Stages - Offre groupée - (F/H),Axa,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/axa/jobs/data-scientist-actuaire-stages-offre-groupee-f-h_suresnes_AXA_VAl8dmW,2026-02-10,WTTJ
Senior Data Scientist NLP/GenAI - Catalog,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-nlp-genai-catalog_paris,2026-02-10,WTTJ
Senior Data Scientist NLP/GenAI - Catalog,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-nlp-genai-catalog_paris_MIRAK_bAL9ZOl,2026-02-10,WTTJ
Data Scientist - Computer Vision,Mirakl,Non précisé,Bordeaux,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-computer-vision_bordeaux_MIRAK_A0Xz6ZR,2026-02-10,WTTJ
Data Scientist - Computer Vision,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-computer-vision_paris_MIRAK_yWxmKz6,2026-02-10,WTTJ
Data Scientist - Computer Vision,Mirakl,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-computer-vision_paris_MIRAK_dMPoaP3,2026-02-10,WTTJ
Data Scientist & IA [stage fin d'études] - Paris,Wedr,Stage,Paris,https://www.welcometothejungle.com/fr/companies/wedr/jobs/data-scientist-ia-stage-fin-d-etudes-paris_paris,2026-02-10,WTTJ
DATA SCIENTIST CONFIRME,Ministere Des Armees Fr,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/ministere-des-armees-fr/jobs/data-scientist-confirme_paris,2026-02-10,WTTJ
Data Scientist H/F,Nexton Consulting,Non précisé,Lille,https://www.welcometothejungle.com/fr/companies/nexton-consulting/jobs/data-scientist-h-f_lille_NEXTO_12Rox70,2026-02-10,WTTJ
Data Scientist / Machine Learning Engineer Confirmé F/H,Oney,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/oney/jobs/data-scientist-machine-learning-engineer-confirme-f-h_croix,2026-02-10,WTTJ
Senior Data Scientist F/M (Remote/Hybrid),Betclic,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/betclic/jobs/senior-data-scientist-f-m-remote-hybrid_bordeaux_BG_JZegwpb,2026-02-10,WTTJ
Stage de fin d’études - Data Scientist,Polynom,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/polynom/jobs/stage-data-scientist_rueil-malmaison,2026-02-10,WTTJ
Internship – Data Scientist – Conseil en stratégie & transition environnementale,Blunomy,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/blunomy/jobs/internship-data-scientist-conseil-en-strategie-transition-environnementale_paris,2026-02-10,WTTJ
Data Scientist,Capgemini,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/capgemini/jobs/data-scientist_paris_CAPGE_bRl3QDN,2026-02-10,WTTJ
Consultant.e - Product Data Scientist,Wigroup,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/wigroup/jobs/consultant-e-product-data-scientist_paris,2026-02-10,WTTJ
Stage de fin d’études Consultant(e) Data Science & IA,Siaxperience,Stage,Paris,https://www.welcometothejungle.com/fr/companies/siaxperience/jobs/stage-de-fin-d-etudes-consultant-data-science-ia_paris_SIA_XbqQmMK,2026-02-10,WTTJ
Lead Data Scientist ML et CV - Energies Renouvelables,Skyvisor,Non précisé,Rennes,https://www.welcometothejungle.com/fr/companies/skyvisor/jobs/data-scientist-confirme-ml-et-cv-energies-renouvelables_rennes,2026-02-10,WTTJ
Data Scientist ML et CV - Energies Renouvelables,Skyvisor,Non précisé,Rennes,https://www.welcometothejungle.com/fr/companies/skyvisor/jobs/data-scientist-ml-et-cv-energies-renouvelables_rennes,2026-02-10,WTTJ
Manager Data Scientist,Publicis Sapient,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/publicis-sapient/jobs/manager-data-scientist_paris_PS_OLrZKD,2026-02-10,WTTJ
Data Scientist (H/F),Withings,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/withings/jobs/data-scientist-h-f_issy-les-moulineaux_WITHI_KlPzlb3,2026-02-10,WTTJ
Senior Data Scientist,Aqemia,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/aqemia/jobs/senior-staff-data-scientist_paris,2026-02-10,WTTJ
Principal Data Scientist,Aqemia,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/aqemia/jobs/staff-data-scientist_paris,2026-02-10,WTTJ
Data Scientist & Recherche Opérationnelle confirmé (H/F),Mp Data,Non précisé,Boulogne,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-recherche-operationnelle-confirme-h-f_boulogne-billancourt,2026-02-10,WTTJ
Data Scientist - Go To Market,Spendesk,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/spendesk/jobs/data-scientist-go-to-market_paris,2026-02-10,WTTJ
Ingénieur(e) Data Scientist confirmé(e) - Industrie - Le Plessis Robinson,Cs Group,Non précisé,France,https://www.welcometothejungle.com/fr/companies/cs-group/jobs/ingenieur-data-scientist-confirme-industrie-le-plessis-robinson_le-plessis-robinson_CS_edRKprV,2026-02-10,WTTJ
Data Scientist – Optimisation Énergies Renouvelables,Mp Data,Non précisé,Boulogne,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-confirme-ia-generative_boulogne-billancourt,2026-02-10,WTTJ
Senior data scientist (H/F),Mp Data,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/mp-data/jobs/senior-data-scientist-h-f_balma_MD_2LLLMgj,2026-02-10,WTTJ
Senior Data Scientist NLP/GenAI - Catalog,Mirakl,Non précisé,Bordeaux,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/data-scientist-nlp-genai-catalog_bordeaux,2026-02-10,WTTJ
STAGE - Data Scientist H/F - 6 mois,Bnp Paribas,Stage,Paris,https://www.welcometothejungle.com/fr/companies/bnp-paribas/jobs/stage-data-scientist-h-f-6-mois_paris_BP_8g4WdKg,2026-02-10,WTTJ
"Data Scientist, France - BCG X",Boston Consulting Group,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/boston-consulting-group/jobs/data-scientist-bcg-x_paris,2026-02-10,WTTJ
Stage Data Scientist - Paris,Artefact,Stage,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/intern-data-scientist_paris,2026-02-10,WTTJ
Senior Data analyst / Data scientist,Oderis,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/oderis/jobs/senior-data-analyst-data-scientist_paris,2026-02-10,WTTJ
Stagiaire Data Analyst / Data Scientist F/H,Safran Aircraft Engines,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/safran-aircraft-engines/jobs/stagiaire-data-analyst-data-scientist-f-h_evry,2026-02-10,WTTJ
ALTERNANCE - Data Scientist H/F,Totalenergies,Alternance,Télétravail,https://www.welcometothejungle.com/fr/companies/totalenergies/jobs/alternance-data-scientist-h-f_nanterre,2026-02-10,WTTJ
STAGE - Data Scientist H/F H/F,Groupe Credit Agricole,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/stage-data-scientist-h-f-h-f_montrouge,2026-02-10,WTTJ
Data Scientist - ROUBAIX H/F,Groupe Credit Agricole,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/data-scientist-roubaix-h-f_roubaix,2026-02-10,WTTJ
Data Scientist - CDD - 5 mois - ROUBAIX H/F,Groupe Credit Agricole,Cdd,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-credit-agricole/jobs/data-scientist-cdd-5-mois-roubaix-h-f_roubaix,2026-02-10,WTTJ
Data Scientist F/H,Aphp,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/aphp/jobs/data-scientist-f-h_paris_ADDSND_qK9Mw95,2026-02-10,WTTJ
"Architecte Senior Data Science, ML, AI & GenAI",Societe Generale,Non précisé,La Défense,https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/architecte-senior-data-science-ml-ai-genai_la-defense,2026-02-10,WTTJ
HAVAS MEDIA FRANCE - STAGE - DATA SCIENTIST IA & DÉVELOPPEMENT JUNIOR - F/H,Havas Sa,Stage,Puteaux,https://www.welcometothejungle.com/fr/companies/havas-sa/jobs/havas-media-france-stage-data-scientist-ia-developpement-junior-f-h_puteaux,2026-02-10,WTTJ
Data Science Intern,Pernod Ricard,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/pernod-ricard/jobs/data-science-intern_paris_PR_qyZ5GKj,2026-02-10,WTTJ
Stage Data Scientist,Mirakl,Stage,Paris,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/stage-data-scientist_paris,2026-02-10,WTTJ
Junior Data Scientist - Casablanca,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/junior-data-scientist-casablanca_paris,2026-02-10,WTTJ
Manager Data Scientist - Casablanca,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/manager-data-scientist-casablanca_paris,2026-02-10,WTTJ
Senior Data Scientist - Casablanca,Artefact,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/artefact/jobs/senior-data-scientist-casablanca_paris,2026-02-10,WTTJ
Data Science - Senior Manager,Jakala,Non précisé,Paris,https://www.welcometothejungle.com/fr/companies/jakala/jobs/data-science-senior-manager_paris,2026-02-10,WTTJ
Data Scientist F/H,Safran Aircraft Engines,Non précisé,Télétravail,https://www.welcometothejungle.com/fr/companies/safran-aircraft-engines/jobs/data-scientist-f-h_montereau_SAE_2Zl4ypO,2026-02-10,WTTJ
Stage - Agro-Data Scientist F/H,Groupe Roullier,Stage,Télétravail,https://www.welcometothejungle.com/fr/companies/groupe-roullier/jobs/stage-agro-data-scientist-f-h_saint-malo,2026-02-10,WTTJ
